IdOperacion,Valor_calificacion,Fecha_calificación (meses),Idsimulacion
475,8,"6,06557377",79855
476,10,"6,098360656",79401
477,5,"6,032786885",77864
479,8,"6,327868852",78486
482,10,"6,032786885",78731
485,10,"6,032786885",79754
486,10,"6,032786885",80308
488,5,"6,032786885",79362
489,8,"6,032786885",80651
490,8,"6,032786885",80414
491,8,"6,983606557",80441
492,10,"6,68852459",79678
493,8,"6,68852459",75809
494,10,"6,032786885",80373
498,10,"6,032786885",80178
501,10,"6,032786885",80825
504,10,"6,327868852",76114
505,2,"6,032786885",80842
506,4,"6,885245902",80021
507,9,"6,032786885",80903
515,5,"6,032786885",77218
517,9,"6,032786885",81020
518,5,"6,098360656",81223
521,2,"6,032786885",80760
522,10,"6,098360656",81124
523,10,"6,032786885",79968
524,10,"6,163934426",81293
525,2,"6,032786885",77826
526,1,"6,032786885",80323
527,2,"6,032786885",81489
528,9,"6,098360656",80786
529,8,"6,032786885",81447
530,10,"6,032786885",81540
532,9,"6,098360656",81148
535,10,"6,032786885",81828
536,10,"6,032786885",81379
539,10,"6,032786885",81350
540,10,"6,032786885",81763
541,10,"6,032786885",81834
544,6,"6,06557377",81837
546,10,"6,032786885",82022
547,9,"6,032786885",82263
548,10,"6,06557377",82234
549,10,"6,032786885",81829
550,10,"6,032786885",81104
551,9,"6,032786885",80813
552,10,"6,032786885",82527
555,1,"6,524590164",82809
557,10,"6,032786885",82693
559,10,"6,032786885",82782
561,10,"6,032786885",82740
563,10,"6,032786885",82137
564,2,"6,032786885",82633
565,6,"6,032786885",82780
566,10,"6,032786885",83106
567,10,"6,032786885",82947
568,10,"6,032786885",83083
570,10,"6,032786885",82788
571,10,"6,032786885",82949
573,10,"6,032786885",82616
574,9,"6,032786885",82819
575,10,"6,032786885",83032
577,10,"6,032786885",83115
578,10,"6,032786885",83058
579,10,"6,032786885",82587
580,9,"6,032786885",82846
581,9,"6,032786885",81846
582,10,"6,032786885",83020
585,8,"6,032786885",83296
586,10,"6,032786885",83264
587,9,"6,032786885",83524
588,9,"6,032786885",83135
589,10,"6,590163934",83629
590,8,"6,032786885",83723
591,10,"6,032786885",83103
592,9,"6,032786885",83763
594,6,"6,032786885",83612
596,9,"6,032786885",83604
598,6,"6,131147541",83114
599,10,"6,032786885",83642
601,2,"6,032786885",83846
602,8,"6,327868852",83829
603,10,"6,032786885",82914
604,2,"6,032786885",83653
608,8,"6,819672131",83983
609,10,"6,032786885",83803
610,10,"6,098360656",84133
612,10,"6,032786885",84216
613,10,"6,032786885",84170
614,10,"6,032786885",83825
615,9,"6,032786885",83942
616,2,"6,032786885",84640
617,9,"6,06557377",83406
618,8,"6,819672131",81852
619,10,"6,032786885",84339
620,4,"6,032786885",84052
621,10,"6,032786885",83980
622,10,"6,032786885",84588
624,2,"6,032786885",84719
625,9,"6,032786885",84601
626,6,"6,032786885",84010
628,6,"6,819672131",84731
629,6,"6,032786885",84721
630,10,"6,032786885",85034
631,10,"6,032786885",84985
632,10,"6,06557377",84067
633,8,"6,032786885",84230
634,8,"6,459016393",85234
635,8,"6,032786885",83989
637,6,"6,032786885",79885
638,9,"6,032786885",84243
639,10,"6,819672131",84843
640,6,"6,06557377",84768
641,10,"6,754098361",85229
642,9,"6,426229508",85351
643,10,"6,852459016",84832
646,6,"6,06557377",83746
647,9,"6,06557377",81484
648,6,"6,06557377",85515
119,8,16,119
